question,answer,tags,priority,enabled
"How do chatbot FAQs work? Demo 465","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 465.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 466","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 466.","company;overview",10,"true"
"How do I contact support? Demo 467","Email the support team or use the support form on the site. This demo row is entry 467.","support;contact",9,"true"
"How do I request a custom project? Demo 468","Use the inquiry form and provide your project brief. This demo row is entry 468.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 469","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 469.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 470","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 470.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 471","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 471.","company;overview",10,"true"
"How do I contact support? Demo 472","Email the support team or use the support form on the site. This demo row is entry 472.","support;contact",9,"true"
"How do I request a custom project? Demo 473","Use the inquiry form and provide your project brief. This demo row is entry 473.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 474","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 474.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 475","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 475.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 476","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 476.","company;overview",10,"true"
"How do I contact support? Demo 477","Email the support team or use the support form on the site. This demo row is entry 477.","support;contact",9,"true"
"How do I request a custom project? Demo 478","Use the inquiry form and provide your project brief. This demo row is entry 478.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 479","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 479.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 480","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 480.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 481","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 481.","company;overview",10,"true"
"How do I contact support? Demo 482","Email the support team or use the support form on the site. This demo row is entry 482.","support;contact",9,"true"
"How do I request a custom project? Demo 483","Use the inquiry form and provide your project brief. This demo row is entry 483.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 484","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 484.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 485","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 485.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 486","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 486.","company;overview",10,"true"
"How do I contact support? Demo 487","Email the support team or use the support form on the site. This demo row is entry 487.","support;contact",9,"true"
"How do I request a custom project? Demo 488","Use the inquiry form and provide your project brief. This demo row is entry 488.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 489","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 489.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 490","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 490.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 491","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 491.","company;overview",10,"true"
"How do I contact support? Demo 492","Email the support team or use the support form on the site. This demo row is entry 492.","support;contact",9,"true"
"How do I request a custom project? Demo 493","Use the inquiry form and provide your project brief. This demo row is entry 493.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 494","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 494.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 495","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 495.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 496","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 496.","company;overview",10,"true"
"How do I contact support? Demo 497","Email the support team or use the support form on the site. This demo row is entry 497.","support;contact",9,"true"
"How do I request a custom project? Demo 498","Use the inquiry form and provide your project brief. This demo row is entry 498.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 499","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 499.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 500","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 500.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 501","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 501.","company;overview",10,"true"
"How do I contact support? Demo 502","Email the support team or use the support form on the site. This demo row is entry 502.","support;contact",9,"true"
"How do I request a custom project? Demo 503","Use the inquiry form and provide your project brief. This demo row is entry 503.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 504","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 504.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 505","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 505.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 506","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 506.","company;overview",10,"true"
"How do I contact support? Demo 507","Email the support team or use the support form on the site. This demo row is entry 507.","support;contact",9,"true"
"How do I request a custom project? Demo 508","Use the inquiry form and provide your project brief. This demo row is entry 508.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 509","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 509.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 510","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 510.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 511","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 511.","company;overview",10,"true"
"How do I contact support? Demo 512","Email the support team or use the support form on the site. This demo row is entry 512.","support;contact",9,"true"
"How do I request a custom project? Demo 513","Use the inquiry form and provide your project brief. This demo row is entry 513.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 514","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 514.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 515","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 515.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 516","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 516.","company;overview",10,"true"
"How do I contact support? Demo 517","Email the support team or use the support form on the site. This demo row is entry 517.","support;contact",9,"true"
"How do I request a custom project? Demo 518","Use the inquiry form and provide your project brief. This demo row is entry 518.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 519","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 519.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 520","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 520.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 521","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 521.","company;overview",10,"true"
"How do I contact support? Demo 522","Email the support team or use the support form on the site. This demo row is entry 522.","support;contact",9,"true"
"How do I request a custom project? Demo 523","Use the inquiry form and provide your project brief. This demo row is entry 523.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 524","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 524.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 525","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 525.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 526","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 526.","company;overview",10,"true"
"How do I contact support? Demo 527","Email the support team or use the support form on the site. This demo row is entry 527.","support;contact",9,"true"
"How do I request a custom project? Demo 528","Use the inquiry form and provide your project brief. This demo row is entry 528.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 529","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 529.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 530","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 530.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 531","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 531.","company;overview",10,"true"
"How do I contact support? Demo 532","Email the support team or use the support form on the site. This demo row is entry 532.","support;contact",9,"true"
"How do I request a custom project? Demo 533","Use the inquiry form and provide your project brief. This demo row is entry 533.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 534","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 534.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 535","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 535.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 536","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 536.","company;overview",10,"true"
"How do I contact support? Demo 537","Email the support team or use the support form on the site. This demo row is entry 537.","support;contact",9,"true"
"How do I request a custom project? Demo 538","Use the inquiry form and provide your project brief. This demo row is entry 538.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 539","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 539.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 540","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 540.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 541","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 541.","company;overview",10,"true"
"How do I contact support? Demo 542","Email the support team or use the support form on the site. This demo row is entry 542.","support;contact",9,"true"
"How do I request a custom project? Demo 543","Use the inquiry form and provide your project brief. This demo row is entry 543.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 544","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 544.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 545","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 545.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 546","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 546.","company;overview",10,"true"
"How do I contact support? Demo 547","Email the support team or use the support form on the site. This demo row is entry 547.","support;contact",9,"true"
"How do I request a custom project? Demo 548","Use the inquiry form and provide your project brief. This demo row is entry 548.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 549","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 549.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 550","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 550.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 551","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 551.","company;overview",10,"true"
"How do I contact support? Demo 552","Email the support team or use the support form on the site. This demo row is entry 552.","support;contact",9,"true"
"How do I request a custom project? Demo 553","Use the inquiry form and provide your project brief. This demo row is entry 553.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 554","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 554.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 555","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 555.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 556","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 556.","company;overview",10,"true"
"How do I contact support? Demo 557","Email the support team or use the support form on the site. This demo row is entry 557.","support;contact",9,"true"
"How do I request a custom project? Demo 558","Use the inquiry form and provide your project brief. This demo row is entry 558.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 559","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 559.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 560","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 560.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 561","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 561.","company;overview",10,"true"
"How do I contact support? Demo 562","Email the support team or use the support form on the site. This demo row is entry 562.","support;contact",9,"true"
"How do I request a custom project? Demo 563","Use the inquiry form and provide your project brief. This demo row is entry 563.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 564","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 564.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 565","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 565.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 566","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 566.","company;overview",10,"true"
"How do I contact support? Demo 567","Email the support team or use the support form on the site. This demo row is entry 567.","support;contact",9,"true"
"How do I request a custom project? Demo 568","Use the inquiry form and provide your project brief. This demo row is entry 568.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 569","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 569.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 570","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 570.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 571","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 571.","company;overview",10,"true"
"How do I contact support? Demo 572","Email the support team or use the support form on the site. This demo row is entry 572.","support;contact",9,"true"
"How do I request a custom project? Demo 573","Use the inquiry form and provide your project brief. This demo row is entry 573.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 574","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 574.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 575","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 575.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 576","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 576.","company;overview",10,"true"
"How do I contact support? Demo 577","Email the support team or use the support form on the site. This demo row is entry 577.","support;contact",9,"true"
"How do I request a custom project? Demo 578","Use the inquiry form and provide your project brief. This demo row is entry 578.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 579","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 579.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 580","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 580.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 581","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 581.","company;overview",10,"true"
"How do I contact support? Demo 582","Email the support team or use the support form on the site. This demo row is entry 582.","support;contact",9,"true"
"How do I request a custom project? Demo 583","Use the inquiry form and provide your project brief. This demo row is entry 583.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 584","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 584.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 585","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 585.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 586","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 586.","company;overview",10,"true"
"How do I contact support? Demo 587","Email the support team or use the support form on the site. This demo row is entry 587.","support;contact",9,"true"
"How do I request a custom project? Demo 588","Use the inquiry form and provide your project brief. This demo row is entry 588.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 589","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 589.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 590","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 590.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 591","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 591.","company;overview",10,"true"
"How do I contact support? Demo 592","Email the support team or use the support form on the site. This demo row is entry 592.","support;contact",9,"true"
"How do I request a custom project? Demo 593","Use the inquiry form and provide your project brief. This demo row is entry 593.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 594","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 594.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 595","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 595.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 596","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 596.","company;overview",10,"true"
"How do I contact support? Demo 597","Email the support team or use the support form on the site. This demo row is entry 597.","support;contact",9,"true"
"How do I request a custom project? Demo 598","Use the inquiry form and provide your project brief. This demo row is entry 598.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 599","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 599.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 600","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 600.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 601","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 601.","company;overview",10,"true"
"How do I contact support? Demo 602","Email the support team or use the support form on the site. This demo row is entry 602.","support;contact",9,"true"
"How do I request a custom project? Demo 603","Use the inquiry form and provide your project brief. This demo row is entry 603.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 604","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 604.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 605","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 605.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 606","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 606.","company;overview",10,"true"
"How do I contact support? Demo 607","Email the support team or use the support form on the site. This demo row is entry 607.","support;contact",9,"true"
"How do I request a custom project? Demo 608","Use the inquiry form and provide your project brief. This demo row is entry 608.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 609","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 609.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 610","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 610.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 611","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 611.","company;overview",10,"true"
"How do I contact support? Demo 612","Email the support team or use the support form on the site. This demo row is entry 612.","support;contact",9,"true"
"How do I request a custom project? Demo 613","Use the inquiry form and provide your project brief. This demo row is entry 613.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 614","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 614.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 615","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 615.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 616","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 616.","company;overview",10,"true"
"How do I contact support? Demo 617","Email the support team or use the support form on the site. This demo row is entry 617.","support;contact",9,"true"
"How do I request a custom project? Demo 618","Use the inquiry form and provide your project brief. This demo row is entry 618.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 619","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 619.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 620","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 620.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 621","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 621.","company;overview",10,"true"
"How do I contact support? Demo 622","Email the support team or use the support form on the site. This demo row is entry 622.","support;contact",9,"true"
"How do I request a custom project? Demo 623","Use the inquiry form and provide your project brief. This demo row is entry 623.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 624","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 624.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 625","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 625.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 626","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 626.","company;overview",10,"true"
"How do I contact support? Demo 627","Email the support team or use the support form on the site. This demo row is entry 627.","support;contact",9,"true"
"How do I request a custom project? Demo 628","Use the inquiry form and provide your project brief. This demo row is entry 628.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 629","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 629.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 630","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 630.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 631","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 631.","company;overview",10,"true"
"How do I contact support? Demo 632","Email the support team or use the support form on the site. This demo row is entry 632.","support;contact",9,"true"
"How do I request a custom project? Demo 633","Use the inquiry form and provide your project brief. This demo row is entry 633.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 634","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 634.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 635","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 635.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 636","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 636.","company;overview",10,"true"
"How do I contact support? Demo 637","Email the support team or use the support form on the site. This demo row is entry 637.","support;contact",9,"true"
"How do I request a custom project? Demo 638","Use the inquiry form and provide your project brief. This demo row is entry 638.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 639","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 639.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 640","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 640.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 641","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 641.","company;overview",10,"true"
"How do I contact support? Demo 642","Email the support team or use the support form on the site. This demo row is entry 642.","support;contact",9,"true"
"How do I request a custom project? Demo 643","Use the inquiry form and provide your project brief. This demo row is entry 643.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 644","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 644.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 645","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 645.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 646","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 646.","company;overview",10,"true"
"How do I contact support? Demo 647","Email the support team or use the support form on the site. This demo row is entry 647.","support;contact",9,"true"
"How do I request a custom project? Demo 648","Use the inquiry form and provide your project brief. This demo row is entry 648.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 649","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 649.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 650","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 650.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 651","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 651.","company;overview",10,"true"
"How do I contact support? Demo 652","Email the support team or use the support form on the site. This demo row is entry 652.","support;contact",9,"true"
"How do I request a custom project? Demo 653","Use the inquiry form and provide your project brief. This demo row is entry 653.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 654","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 654.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 655","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 655.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 656","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 656.","company;overview",10,"true"
"How do I contact support? Demo 657","Email the support team or use the support form on the site. This demo row is entry 657.","support;contact",9,"true"
"How do I request a custom project? Demo 658","Use the inquiry form and provide your project brief. This demo row is entry 658.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 659","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 659.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 660","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 660.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 661","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 661.","company;overview",10,"true"
"How do I contact support? Demo 662","Email the support team or use the support form on the site. This demo row is entry 662.","support;contact",9,"true"
"How do I request a custom project? Demo 663","Use the inquiry form and provide your project brief. This demo row is entry 663.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 664","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 664.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 665","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 665.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 666","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 666.","company;overview",10,"true"
"How do I contact support? Demo 667","Email the support team or use the support form on the site. This demo row is entry 667.","support;contact",9,"true"
"How do I request a custom project? Demo 668","Use the inquiry form and provide your project brief. This demo row is entry 668.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 669","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 669.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 670","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 670.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 671","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 671.","company;overview",10,"true"
"How do I contact support? Demo 672","Email the support team or use the support form on the site. This demo row is entry 672.","support;contact",9,"true"
"How do I request a custom project? Demo 673","Use the inquiry form and provide your project brief. This demo row is entry 673.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 674","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 674.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 675","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 675.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 676","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 676.","company;overview",10,"true"
"How do I contact support? Demo 677","Email the support team or use the support form on the site. This demo row is entry 677.","support;contact",9,"true"
"How do I request a custom project? Demo 678","Use the inquiry form and provide your project brief. This demo row is entry 678.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 679","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 679.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 680","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 680.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 681","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 681.","company;overview",10,"true"
"How do I contact support? Demo 682","Email the support team or use the support form on the site. This demo row is entry 682.","support;contact",9,"true"
"How do I request a custom project? Demo 683","Use the inquiry form and provide your project brief. This demo row is entry 683.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 684","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 684.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 685","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 685.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 686","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 686.","company;overview",10,"true"
"How do I contact support? Demo 687","Email the support team or use the support form on the site. This demo row is entry 687.","support;contact",9,"true"
"How do I request a custom project? Demo 688","Use the inquiry form and provide your project brief. This demo row is entry 688.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 689","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 689.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 690","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 690.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 691","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 691.","company;overview",10,"true"
"How do I contact support? Demo 692","Email the support team or use the support form on the site. This demo row is entry 692.","support;contact",9,"true"
"How do I request a custom project? Demo 693","Use the inquiry form and provide your project brief. This demo row is entry 693.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 694","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 694.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 695","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 695.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 696","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 696.","company;overview",10,"true"
